Url,Format,Duration,Bit rate ,Width,Height,Frame rate,,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (h:mm:ss or m:ss)
,,,,,,,tcmalloc_test_1,53.97,0.18,383%,0:14.11
,,,,,,,tcmalloc_test_2,54.21,0.16,388%,0:13.99
,,,,,,,tcmalloc_test_3,54.18,0.18,386%,0:14.05
https://streams.videolan.org/samples/Divx4-bugs/divx4b153_badmacroblock.avi,AVI,44 s 0 ms,128 kb/s,576 pixels,312 pixels,25.000 FPS,std_test_1,29.53,0.19,371%,0:08.00
,,,,,,,std_test_2,29.55,0.18,371%,0:08.01
,,,,,,,std_test_3,29.58,0.16,369%,0:08.06
,,,,,,,tcmalloc_test_1,23.18,0.20,359%,0:06.50
,,,,,,,tcmalloc_test_2,21.90,0.12,366%,0:06.00
,,,,,,,tcmalloc_test_3,22.85,0.15,364%,0:06.30
https://download.blender.org/demo/movies/Sintel.2010.720p.mkv,Matroska,14 min 48 s,5 500 kb/s,1 280 pixels,544 pixels,24.000 FPS,std_test_1,1596.50,4.17,387%,6:53.51
,,,,,,,std_test_2,1601.18,4.18,385%,6:56.71
,,,,,,,std_test_3,1593.86,4.70,385%,6:54.40
,,,,,,,tcmalloc_test_1,1604.35,4.95,386%,6:56.58
,,,,,,,tcmalloc_test_2,1600.67,4.41,387%,6:54.72
,,,,,,,tcmalloc_test_3,1598.82,4.30,386%,6:54.29
https://streams.videolan.org/samples/fate-suite/lmlm4/LMLM4_CIFat30fps.divx,MPEG-4 Visual,-,-,320 pixels,240 pixels,-,std_test_1,3.33,0.06,302%,0:01.12
,,,,,,,std_test_2,3.35,0.05,304%,0:01.11
,,,,,,,std_test_3,3.45,0.09,161%,0:02.20
,,,,,,,tcmalloc_test_1,3.47,0.09,149%,0:02.39
,,,,,,,tcmalloc_test_2,3.31,0.06,300%,0:01.12
,,,,,,,tcmalloc_test_3,3.37,0.04,306%,0:01.11
http://download.opencontent.netflix.com.s3.amazonaws.com/ElFuente/Netflix_Boat_4096x2160_60fps_10bit_420.y4m,YUV4MPEG2,-,-,4 096 pixels,2 160 pixels,60.000 FPS,std_test_1,186.16,5.30,254%,1:15.29
,,,,,,,std_test_2,186.39,5.38,251%,1:16.36
,,,,,,,std_test_3,190.55,5.51,263%,1:14.38
,,,,,,,tcmalloc_test_1,183.39,6.51,257%,1:13.84
,,,,,,,tcmalloc_test_2,184.97,5.80,245%,1:17.82
,,,,,,,tcmalloc_test_3,180.16,6.31,234%,1:19.35
http://download.opencontent.netflix.com.s3.amazonaws.com/ISOBMFF-packages/C_V3_9615614724_7445_2397.mp4,MPEG-4 ,24 min 49 s,7 444 kb/s,1 920 pixels,1 080 pixels,23.976 FPS,std_test_1,15365.83,17.26,395%,1:04:52
,,,,,,,std_test_2,15365.72,17.75,395%,1:04:52
,,,,,,,std_test_3,15368.66,18.14,395%,1:04:48
,,,,,,,tcmalloc_test_1,11504.32,13.47,396%,48:27.35
,,,,,,,tcmalloc_test_2,11515.99,13.14,395%,48:35.10
,,,,,,,tcmalloc_test_3,11546.82,13.13,395%,48:43.35
https://download.blender.org/demo/movies/esign_2_high.qt,QuickTime,4 min 1 s,2 458 kb/s,720 pixels,404 pixels,43.066 FPS,std_test_1,367.12,1.31,390%,1:34.27
,,,,,,,std_test_2,367.43,1.35,393%,1:33.81
,,,,,,,std_test_3,367.98,1.67,384%,1:36.03
,,,,,,,tcmalloc_test_1,272.41,0.93,392%,1:09.55
,,,,,,,tcmalloc_test_2,272.88,0.93,390%,1:10.13
,,,,,,,tcmalloc_test_3,272.97,0.93,393%,1:09.57
https://streams.videolan.org/samples/asf-wmv/wmapro-in-wmavoice.wmv,Windows Media,56 min 7 s,20.0 kb/s,1 024 pixels,768 pixels,-,std_test_1,48.14,0.25,255%,0:18.91
,,,,,,,std_test_2,47.99,0.26,255%,0:18.91
,,,,,,,std_test_3,46.30,0.25,231%,0:20.10
,,,,,,,tcmalloc_test_1,48.14,0.27,251%,0:19.25
,,,,,,,tcmalloc_test_2,47.97,0.24,256%,0:18.77
,,,,,,,tcmalloc_test_3,48.29,0.24,256%,0:18.90
https://download.blender.org/demo/movies/ton_bug_1999.mpg,MPEG-4,12 s 512 ms,1 418 kb/s,320 pixels,240 pixels,23.976 FPS,std_test_1,1.77,0.05,266%,0:00.68
,,,,,,,std_test_2,1.85,0.09,279%,0:00.69
,,,,,,,std_test_3,1.78,0.04,262%,0:00.69
,,,,,,,tcmalloc_test_1,1.84,0.07,223%,0:00.85
,,,,,,,tcmalloc_test_2,1.83,0.06,272%,0:00.69
,,,,,,,tcmalloc_test_3,1.87,0.07,270%,0:00.71
https://streams.videolan.org/samples/mobileVideo_3gp/Boaz_explains_reality.3gp,MPEG-4,9 s 890 ms,62.6 kb/s,128 pixels,96 pixels,-,std_test_1,0.57,0.03,177%,0:00.34
,,,,,,,std_test_2,0.59,0.01,174%,0:00.35
,,,,,,,std_test_3,0.58,0.05,160%,0:00.39
,,,,,,,tcmalloc_test_1,0.97,0.06,157%,0:00.65
,,,,,,,tcmalloc_test_2,0.39,0.01,173%,0:00.23
,,,,,,,tcmalloc_test_3,0.37,0.01,178%,0:00.22
https://streams.videolan.org/samples/benchmark/testsuite1/matrixbench_mpeg2.mpg,MPEG-PS,3 min 7 s,384 kb/s,720 pixels,576 pixels,41.667 FPS,std_test_1,165.82,0.84,378%,0:44.03
,,,,,,,std_test_2,165.24,0.77,379%,0:43.71
,,,,,,,std_test_3,168.60,0.93,368%,0:46.03
,,,,,,,tcmalloc_test_1,163.90,0.85,372%,0:44.18
,,,,,,,tcmalloc_test_2,164.99,0.80,381%,0:43.51
,,,,,,,tcmalloc_test_3,165.39,0.74,382%,0:43.43
http://download.opencontent.netflix.com.s3.amazonaws.com/Meridian/Meridian_UHD4k5994_HDR_P3PQ.mp4,MPEG-4,11 min 58 s,9 462 kb/s,3 840 pixels,2 160 pixels,59.940 FPS,std_test_1,24393.49,29.74,389%,1:44:34
,,,,,,,std_test_2,24392.65,29.48,389%,1:44:31
,,,,,,,std_test_3,24496.17,31.40,387%,1:45:23
,,,,,,,tcmalloc_test_1,18523.77,21.18,390%,1:19:07
,,,,,,,tcmalloc_test_2,18386.94,19.51,390%,1:18:29
,,,,,,,tcmalloc_test_3,18383.74,20.06,390%,1:18:38
https://streams.videolan.org/samples/asf-wmv/demux-asf-assert-failed.wmv,Windows Media,5 min 46 s,64.0 kb/s,320 pixels,240 pixels,15.000 FPS,std_test_1,39.96,0.34,303%,0:13.29
,,,,,,,std_test_2,39.97,0.30,302%,0:13.30
,,,,,,,std_test_3,39.90,0.34,301%,0:13.34
,,,,,,,tcmalloc_test_1,39.88,0.37,299%,0:13.44
,,,,,,,tcmalloc_test_2,39.85,0.33,303%,0:13.24
,,,,,,,tcmalloc_test_3,40.61,0.28,300%,0:13.62
https://streams.videolan.org/samples/postprocess/BP_Parade_X_FINAL_Video-Thl.mpeg,MPEG-PS,3 min 38 s,1 838 kb/s,480 pixels,576 pixels,25.000 FPS,std_test_1,263.52,0.96,393%,1:07.20
,,,,,,,std_test_2,263.49,0.97,393%,1:07.24
,,,,,,,std_test_3,263.64,0.91,390%,1:07.67
,,,,,,,tcmalloc_test_1,264.59,01.09,380%,1:09.88
,,,,,,,tcmalloc_test_2,263.33,01.01,393%,1:07.26
,,,,,,,tcmalloc_test_3,263.83,01.01,393%,1:07.37
