Url,Format,Duration,Bit rate ,Width,Height,Frame rate,,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (h:mm:ss or m:ss)
,,,,,,,tcmalloc_test_1,1603.84,4.48,385%,6:57.73
,,,,,,,tcmalloc_test_2,1601.90,4.24,385%,6:56.54
,,,,,,,tcmalloc_test_3,1600.29,4.44,384%,6:57.49
https://streams.videolan.org/samples/fate-suite/lmlm4/LMLM4_CIFat30fps.divx,mpeg4 (Simple Profile),-,-,320 pixels,240 pixels,29.97 FPS,std_test_1,3.44,0.08,185%,0:01.90
,,,,,,,std_test_2,3.62,0.04,306%,0:01.19
,,,,,,,std_test_3,3.66,0.04,306%,0:01.21
,,,,,,,tcmalloc_test_1,3.39,0.08,241%,0:01.44
,,,,,,,tcmalloc_test_2,3.59,0.06,304%,0:01.20
,,,,,,,tcmalloc_test_3,3.64,0.08,306%,0:01.21
http://download.opencontent.netflix.com.s3.amazonaws.com/ElFuente/Netflix_Boat_4096x2160_60fps_10bit_420.y4m,rawvideo (Y3[11][10] / 0xA0B3359),-,-,4 096 pixels,2 160 pixels,60.000 FPS,std_test_1,187.23,5.63,245%,1:18.60
,,,,,,,std_test_2,185.96,5.47,244%,1:18.25
,,,,,,,std_test_3,179.09,5.15,226%,1:21.30
,,,,,,,tcmalloc_test_1,186.63,5.86,238%,1:20.88
,,,,,,,tcmalloc_test_2,173.25,06.03,202%,1:28.46
,,,,,,,tcmalloc_test_3,177.27,4.70,213%,1:25.37
http://download.opencontent.netflix.com.s3.amazonaws.com/ISOBMFF-packages/C_V3_9615614724_7445_2397.mp4,h264 (High) (avc1 / 0x31637661),24 min 49 s,7 444 kb/s,1 920 pixels,1 080 pixels,23.976 FPS,std_test_1,11977.08,46.33,347%,57:41.72
,,,,,,,std_test_2,11581.21,13.94,394%,49:00.04
,,,,,,,std_test_3,11579.57,12.93,395%,48:54.47
,,,,,,,tcmalloc_test_1,11435.00,14.44,358%,53:11.96
,,,,,,,tcmalloc_test_2,11536.23,14.03,391%,49:08.43
,,,,,,,tcmalloc_test_3,11531.69,13.85,392%,49:02.34
